model,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate
Random Forest,0.9903,0.9931,0.9917,0.9924,0.0122,0.0083
Hybrid (RF+Autoencoder),0.9744,0.9684,0.9923,0.9802,0.0573,0.0077
